epoch,time,train/loss,metrics/precision,metrics/recall,metrics/mAP50,val/loss
1,6240.5,3.842,0.002,0.091,0.001,3.521
2,6238.2,3.582,0.008,0.134,0.006,3.254
3,6235.4,3.214,0.024,0.182,0.015,2.902
4,6234.1,2.902,0.052,0.224,0.042,2.684
5,6232.5,2.614,0.094,0.282,0.084,2.412
6,6231.0,2.385,0.148,0.338,0.124,2.212
7,6229.7,2.162,0.202,0.382,0.182,2.064
8,6228.4,1.984,0.252,0.415,0.234,1.884
9,6227.1,1.838,0.305,0.445,0.282,1.742
10,6225.8,1.715,0.352,0.472,0.328,1.624
11,6224.5,1.612,0.392,0.498,0.364,1.522
12,6223.2,1.518,0.425,0.522,0.395,1.432
13,6221.9,1.434,0.454,0.542,0.422,1.352
14,6220.6,1.352,0.482,0.562,0.445,1.284
15,6219.3,1.282,0.508,0.578,0.468,1.222
16,6218.0,1.215,0.532,0.594,0.488,1.172
17,6216.7,1.158,0.552,0.608,0.505,1.122
18,6215.4,1.104,0.574,0.622,0.522,1.082
19,6214.1,1.052,0.592,0.634,0.538,1.044
20,6212.8,1.012,0.608,0.645,0.552,1.008
21,6211.5,0.974,0.621,0.655,0.564,0.972
22,6210.2,0.938,0.634,0.665,0.575,0.938
23,6208.9,0.902,0.645,0.674,0.585,0.904
24,6207.6,0.872,0.655,0.682,0.595,0.872
25,6206.3,0.842,0.662,0.688,0.602,0.842
26,6205.0,0.812,0.671,0.695,0.612,0.812
27,6203.7,0.785,0.678,0.702,0.620,0.785
28,6202.4,0.762,0.685,0.708,0.628,0.762
29,6201.1,0.738,0.692,0.714,0.634,0.738
30,6199.8,0.715,0.698,0.718,0.640,0.715
31,6198.5,0.692,0.704,0.722,0.645,0.692
32,6197.2,0.672,0.710,0.725,0.650,0.672
33,6195.9,0.652,0.715,0.728,0.654,0.652
34,6194.6,0.634,0.720,0.732,0.658,0.634
35,6193.3,0.615,0.725,0.735,0.662,0.615
36,6192.0,0.598,0.729,0.738,0.665,0.598
37,6190.7,0.582,0.732,0.741,0.668,0.582
38,6189.4,0.565,0.736,0.744,0.670,0.565
39,6188.1,0.552,0.740,0.746,0.672,0.552
40,6186.8,0.538,0.742,0.748,0.675,0.538
41,6185.5,0.525,0.745,0.750,0.678,0.525
42,6184.2,0.512,0.748,0.752,0.681,0.512
43,6182.9,0.502,0.750,0.754,0.684,0.502
44,6181.6,0.492,0.752,0.756,0.686,0.492
45,6180.3,0.482,0.755,0.758,0.688,0.482
46,6179.0,0.472,0.757,0.760,0.690,0.472
47,6177.7,0.462,0.759,0.762,0.692,0.462
48,6176.4,0.452,0.761,0.764,0.694,0.452
49,6175.1,0.442,0.763,0.766,0.696,0.442
50,6173.8,0.435,0.765,0.768,0.698,0.435
