epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,791.5,1.542,3.421,1.234,0.001,0.082,0.001,0.0003,1.421,3.124,1.182,0.00040,0.00040,0.00040
2,791.2,1.468,3.205,1.185,0.005,0.114,0.004,0.0022,1.352,2.952,1.134,0.00080,0.00080,0.00080
3,790.9,1.398,2.998,1.137,0.012,0.142,0.009,0.0048,1.284,2.782,1.082,0.00120,0.00120,0.00120
4,790.6,1.332,2.802,1.092,0.024,0.175,0.018,0.0084,1.222,2.614,1.034,0.00160,0.00160,0.00160
5,790.3,1.272,2.618,1.052,0.042,0.212,0.032,0.0142,1.164,2.452,0.992,0.00200,0.00200,0.00200
6,790.0,1.215,2.445,1.014,0.068,0.248,0.054,0.0242,1.112,2.312,0.952,0.00240,0.00240,0.00240
7,789.7,1.162,2.282,0.982,0.102,0.282,0.082,0.0382,1.064,2.182,0.914,0.00280,0.00280,0.00280
8,789.4,1.114,2.132,0.952,0.142,0.315,0.114,0.0582,1.022,2.052,0.884,0.00320,0.00320,0.00320
9,789.1,1.068,1.992,0.924,0.185,0.345,0.152,0.0842,0.982,1.932,0.852,0.00360,0.00360,0.00360
10,788.8,1.025,1.862,0.898,0.232,0.372,0.192,0.1142,0.944,1.824,0.824,0.00400,0.00400,0.00400
11,788.5,0.985,1.742,0.874,0.282,0.398,0.234,0.1442,0.912,1.722,0.798,0.00398,0.00398,0.00398
12,788.2,0.948,1.632,0.852,0.325,0.422,0.275,0.1742,0.884,1.632,0.774,0.00395,0.00395,0.00395
13,787.9,0.914,1.532,0.832,0.364,0.442,0.312,0.2042,0.852,1.542,0.752,0.00392,0.00392,0.00392
14,787.6,0.882,1.442,0.814,0.398,0.462,0.345,0.2342,0.824,1.464,0.732,0.00388,0.00388,0.00388
15,787.3,0.852,1.362,0.798,0.428,0.478,0.375,0.2642,0.802,1.382,0.714,0.00384,0.00384,0.00384
16,787.0,0.825,1.282,0.782,0.455,0.494,0.402,0.2942,0.782,1.312,0.692,0.00379,0.00379,0.00379
17,786.7,0.798,1.212,0.768,0.478,0.508,0.425,0.3142,0.762,1.252,0.682,0.00374,0.00374,0.00374
18,786.4,0.774,1.152,0.754,0.498,0.522,0.445,0.3342,0.742,1.192,0.672,0.00368,0.00368,0.00368
19,786.1,0.752,1.092,0.742,0.515,0.534,0.462,0.3542,0.724,1.142,0.654,0.00361,0.00361,0.00361
20,785.8,0.732,1.042,0.732,0.532,0.545,0.478,0.3742,0.708,1.094,0.642,0.00354,0.00354,0.00354
21,785.5,0.714,0.998,0.722,0.545,0.555,0.492,0.3922,0.692,1.052,0.634,0.00346,0.00346,0.00346
22,785.2,0.698,0.958,0.712,0.558,0.565,0.504,0.4042,0.678,1.012,0.622,0.00338,0.00338,0.00338
23,784.9,0.682,0.922,0.704,0.572,0.574,0.515,0.4142,0.664,0.982,0.612,0.00329,0.00329,0.00329
24,784.6,0.668,0.892,0.695,0.584,0.582,0.525,0.4242,0.652,0.952,0.604,0.00320,0.00320,0.00320
25,784.3,0.655,0.862,0.688,0.595,0.588,0.534,0.4342,0.642,0.922,0.595,0.00310,0.00310,0.00310
26,784.0,0.642,0.835,0.682,0.605,0.595,0.542,0.4422,0.632,0.894,0.588,0.00300,0.00300,0.00300
27,783.7,0.632,0.812,0.675,0.612,0.602,0.552,0.4502,0.622,0.872,0.582,0.00289,0.00289,0.00289
28,783.4,0.622,0.788,0.670,0.618,0.608,0.562,0.4582,0.612,0.852,0.575,0.00278,0.00278,0.00278
29,783.1,0.612,0.768,0.665,0.624,0.614,0.572,0.4642,0.604,0.832,0.568,0.00267,0.00267,0.00267
30,782.8,0.604,0.748,0.661,0.628,0.618,0.578,0.4702,0.595,0.814,0.562,0.00255,0.00255,0.00255
31,782.5,0.595,0.732,0.658,0.632,0.622,0.584,0.4762,0.588,0.798,0.558,0.00243,0.00243,0.00243
32,782.2,0.588,0.718,0.655,0.635,0.625,0.588,0.4822,0.582,0.782,0.552,0.00231,0.00231,0.00231
33,781.9,0.582,0.705,0.652,0.638,0.628,0.592,0.4862,0.575,0.772,0.548,0.00218,0.00218,0.00218
34,781.6,0.578,0.692,0.650,0.640,0.632,0.595,0.4902,0.568,0.762,0.544,0.00205,0.00205,0.00205
